post_id,local_filename,entity_keywords_od,entity_keywords_full,scene_keywords,style_keywords,entity_count_od,entity_count_full,scene_count,style_count,caption,detailed_caption,post_title,post_score,bot_ai_percent
1nkln59,1nkln59_6c87276b8f2c96ce.jpg,person,android; app; background; bottom; button; download; fall; glitch; gradient; house; image; iphone; letter; list; option; person; picture; playlist; pose; real; red; screen; screenshot; setting; side; sleep; sleepwise; subscribe; subscription; text; that; top; user; video; vides; which; you,plain_background,,1,37,1,0,"The image shows a screenshot of the Sleepwise app on an iPhone, with text and images of people. The text reads ""Sleepwise for Android"" and the images depict people in various poses, suggesting that the app is designed to help users manage their sleep.","The image is a screenshot of the SleepWise app on an iPhone. The app has a black background with a colorful gradient at the top. Below the gradient, there is a text that reads ""SleepWise"" in white letters. At the top of the screen, there are two buttons - ""Home"" and ""Videos"". Below the text, it says ""Subscribe"" in red letters. 

On the left side of the image, there has a profile picture of a person with their head tilted to the side, and on the right side, it reads ""For you"" in black letters. Below that, it states that the app is available for download, with a list of videos and playlists.

At the bottom of the screenshot, it shows the ""Every Real Glitch Explained to Fall"" button, which is highlighted in red. There are also several other options available, such as ""Vides"", ""Subscriptions"", and ""Settings"".",,0,
1nstc8y,1nstc8y_eeed4494c06e3860.jpg,car; flower; person; wheel,advice; background; bottom; building; car; chaos; cloud; collage; desert; destruction; dirt; distance; field; flag; flower; foreground; ground; health; image; landscape; level; mental; metal; mood; other; person; picture; plant; road; roading; shipwreck; sky; text; they; top; wheel,field; street,landscape,4,36,2,1,"The image shows a collage of two pictures. At the top of the image, there are two vehicles on the ground, with a person sitting in one of them. In the background, there is a sky with clouds, and at the bottom of the picture there are plants with flowers. The text on the image reads ""My Mental Health, My Advice to Others"".","The image is a collage of two pictures. The top picture shows a desert landscape with a large shipwreck in the background. The shipwreck appears to be made of metal and has multiple levels and structures. There are several flags flying from the shipwreck.

The bottom picture shows two vehicles on a dirt road, one in the foreground and the other in the distance. The vehicles are black and appear to be off-roading. The sky is blue and there are a few clouds in the sky. The ground is covered in a field of colorful flowers. The overall mood of the image is one of destruction and chaos.",,0,
1ny09d5,1ny09d5_fb631ed54b8741aa.jpg,person,background; bandage; bar; battle; button; cartoon; character; date; diaries; diy; download; dress; expression; front; game; hair; hand; heart; icon; image; interface; look; makeup; middle; name; person; picture; player; profile; reo; screen; screenshot; she; showcase; sponsored; suit; suitugame; sword; text; that; thumbnail; time; top; vampire; wrist,,,1,45,0,0,"The image shows a screenshot of a mobile screen with a cartoon image of a woman in a white dress and a man in a black suit. The text on the screen reads ""Download the Vampire Diaries - Screenshot Thumbnail"".","The image is a screenshot of a mobile game interface. It shows two characters, one with long dark hair and the other with short black hair, standing in front of a purple background. The character with the black hair is wearing a white bandage wrapped around her wrists and has a menacing expression on her face. She is holding a sword in her right hand and appears to be in the middle of a battle.

At the top of the screen, there is a date and time bar, indicating that the game is 14:16. Below the date bar, there are two buttons - ""Play game"" and ""DIY stunning makeup looks and showcase"". The player's name is ""Sponsored"" and the player's profile picture is ""Suitugame"".

There are also several icons on the screen that appear to be related to the game, such as a heart, a heart-shaped icon, and a button that says ""REO"".",,0,
1nkimwz,1nkimwz_84f49e1d9a77387b.jpg,pumpkin,cartoon; cheez; chez; chimney; citrouille; citrouilles; citrôles; cultivés; depuis; design; english; ferme; forest; french; front; hagrad; hagrid; house; image; magic; magie; par; picture; pumpkin; roof; shirt; text; that; tree; water; which,forest,cartoon; minimalist,1,31,1,2,"The image shows a grey t-shirt with a picture of a house and pumpkins, along with the text ""Chez Hagrid - Ferme de Citrouilles Cultivés Par Magic"" printed on it.","The image is a graphic design on a grey t-shirt. It features a small house with a thatched roof and a chimney, surrounded by pumpkins and trees. The house is located in a forest-like setting with a lake in front of it. Above the house, there is text that reads ""Chez Hagrid"" in French, which translates to ""Cheez Hagrad"" in English. Below the text, it reads ""Depuis 1981"" in smaller French. The text below the house reads ""Ferme de citrouilles cultivées par magic"" which is French for ""Citrôles culturees par magie"". The overall design is simple and cartoon-like.",,0,
1nm6tsd,1nm6tsd_63e0d7746fe81fb4.jpg,bird; helmet; motorcycle; person; wheel,air; back; background; basket; bike; bird; body; chair; crossbones; design; front; hand; handlebar; helmet; image; logo; mood; motorcycle; pant; person; railing; road; seagull; skull; sky; tank; top; tree; view; water; wheel,street,,5,31,1,0,"The image shows a man riding a motorcycle down a road next to the ocean, with a basket attached to the back of the bike. The road is lined with trees and a railing, and in the background there is a body of water and a sky with birds flying in the air.","The image shows a young man riding a yellow motorcycle on a road near the ocean. He is wearing a white helmet with a skull and crossbones design on it, a black tank top, and green pants. He has a basket on the back of the motorcycle and is holding onto the handlebars with both hands. The motorcycle has a red and white logo on the front and a black seat. The background shows a beautiful view of the ocean and a few seagulls flying in the sky. The overall mood of the image is playful and adventurous.",,0,
1no2v7o,1no2v7o_1714b973e9486078.jpg,animal,accident; amount; angle; animal; background; bunch; car; center; concrete; debris; ground; image; mumbai; night; object; person; piece; pile; pipe; seaweed; side; some; street; they; trash; video; wall; water; watermark; who,night; street,,1,30,2,0,"The image shows a flooded street with a bunch of trash in it, and in the center of the image there is a watermark. In the background there is an object, and the image is taken from a video of a man who was killed in a car accident in Mumbai.","The image shows a flooded street at night. The street is made of concrete and there is a large amount of water covering the ground. In the center of the image, there are several pieces of debris scattered across the street. The debris appears to be a pile of seaweed or seaweed, with some of them partially submerged in the water. There is a white pipe running along the side of the street and a white wall on the left side. The image is taken from a low angle, looking up at the debris.",,0,
1nl0c6x,1nl0c6x_9bdbf4ce7cee321f.jpg,cutting board; kitchen knife,background; board; center; collage; crust; cutting; cutting board; english; focus; hand; image; kitchen knife; knife; person; photo; piece; steak; text; which; 我们司,,photograph,2,20,0,1,"The image shows a person cutting up a piece of steak on a wooden cutting board with a knife. The person's hands are visible, holding the knife and cutting the steak, and there is text in the background.","The image is a collage of two photos. The first photo shows a person's hands holding a large knife and cutting a piece of cooked steak on a wooden cutting board. The steak appears to be a medium-rare, with a pinkish-brown crust and a juicy center. The person is using the knife to cut the steak into smaller pieces. The background is blurred, but it seems like the focus is on the person and the steak. The text on the image reads ""我们司"" which translates to ""How to cut a steak?"" in English.",,0,
1nmdjbp,1nmdjbp_bafac268a7113132.jpg,bicycle; bicycle wheel; person,back; background; backpack; basket; bicycle; bicycle wheel; cloud; coat; feather; front; grass; hat; illustration; image; impression; left; life; mood; mountain; movement; person; rock; side; sky; they,,illustration,3,25,0,1,"The image shows two people riding a bicycle through tall grass, with a sky in the background. The illustration is animated, giving the impression of movement and life.","The image shows two people riding bicycles on a grassy hill. The person on the left is wearing a hat and a long coat, and is riding a bicycle with a basket on the front. The other person is riding on the back of the bicycle, wearing a backpack and holding a white feather. They are both looking towards the right side of the image. The background is a light blue sky with a few clouds. The hill is covered in tall grasses, and there are a few rocks scattered around. The overall mood of the illustration is peaceful and serene.",,0,
1nunwbx,1nunwbx_77c52172296b66d6.jpg,bird; rabbit,background; bird; blue; body; border; branch; character; cloud; color; eevee; eeveevee; eeyore; feature; flower; illustration; image; island; leaf; look; middle; pikachu; plant; pokemon; pokémon; prey; rabbit; rock; scene; side; sky; squirtle; style; top; tree; variety; water,,digital_art; illustration,2,36,0,2,"The image shows a vibrant and colorful scene of a tree with a variety of Pokemon characters perched atop it, surrounded by lush green leaves and vibrant flowers. The sky is filled with fluffy white clouds and the water below is a deep blue. The image is framed with a black border, giving it a classic and timeless look.","The image is a digital illustration of a small island in the middle of a body of water. The island is covered in colorful flowers and plants, and there are several Pokémon characters scattered around it. The background is a deep blue sky with white clouds, and the water is a light blue-green color.

On top of the island, there is a large tree with green leaves and branches. The tree is surrounded by a variety of colorful flowers, including pink, purple, yellow, and orange. There are also several smaller Pokémon characters, including Pikachu, Eevee, Squirtle, and Eeveevee. On the right side of the image, there are two smaller Pokémon, Pikachu and Eeyore, sitting on a rock, and Pikachu is standing on the rock. On both sides of the tree, there appears to be a small bird, possibly a bird or a bird of prey. The overall style of the illustration is whimsical and playful, with bright colors and exaggerated features.",,0,
1nwq0l4,1nwq0l4_06ece32bb7774bc4.jpg,bench; footwear; person,arm; background; baseball; bench; both; boyfriend; building; cap; clothe; conversation; fence; footwear; front; hand; image; left; metal; middle; overlay; pant; person; phone; roof; screenshot; shirt; short; something; stadium; text; that; they; this; video; watermark,,,3,34,0,0,"The image shows two men sitting on a bench in front of a building, with a fence in the background. One of the men is wearing a cap and the other is holding something in his hand. There is a watermark on the image, suggesting that it is a screenshot from a video of a boyfriend mad and his happened.","The image shows two young men sitting on a bench in a stadium. They are both wearing casual clothes and appear to be engaged in a conversation. The man on the left is wearing a white t-shirt, black shorts, and a baseball cap, while the man in the middle is wearing an orange shirt and black pants. They both have their arms around each other and are looking at their phones. The background shows a metal fence and a building with a green roof. There is a text overlay on the image that reads ""Was trying to get a video of my boyfriend mad and this happened.""",,0,
